iter	TotalF1:average=Macro	MultiClass
697	0.9976469841	0.08022511124
698	0.9976469841	0.07991371189
699	0.9976469841	0.07990530995
700	0.9976469841	0.07990252373
701	0.9976469841	0.07984128739
702	0.9976469841	0.07969714795
703	0.9976469841	0.07960655243
704	0.9976469841	0.07946224858
705	0.9976687009	0.07925029662
706	0.9976687009	0.07924674029
707	0.9976687009	0.07923688468
708	0.9976687009	0.07923378695
709	0.9976687009	0.07922576574
710	0.9976687009	0.07922279781
711	0.9976687009	0.07921931936
712	0.9976897892	0.07912199192
713	0.9976897892	0.07899224219
714	0.9977301139	0.0789639127
715	0.9977301139	0.07883285639
716	0.9977301139	0.07870141069
717	0.9977301139	0.07869923017
718	0.9977301139	0.07869850333
719	0.9977301139	0.07863514704
720	0.9977301139	0.07862451267
721	0.9978031892	0.078499323
722	0.9978031892	0.078496606
723	0.9978031892	0.07837113944
724	0.997833401	0.07805966221
725	0.997833401	0.07805670293
726	0.997833401	0.07805464354
727	0.9978031892	0.07805399458
728	0.9978031892	0.0780520996
729	0.9978031892	0.07787453413
730	0.997833401	0.07771618667
731	0.997833401	0.07771296781
732	0.997833401	0.07752026847
733	0.997833401	0.0775052644
734	0.997833401	0.07737786825
735	0.997833401	0.07737535027
736	0.997833401	0.07729603809
737	0.997833401	0.07729419503
738	0.9978761747	0.07706434029
739	0.9978761747	0.07698452625
740	0.997833401	0.07687241106
741	0.997833401	0.07676917371
742	0.997833401	0.07676639614
743	0.9978761747	0.07662421224
744	0.9978761747	0.07650148864
745	0.9978761747	0.0764258972
746	0.9978761747	0.0762982155
747	0.9979617199	0.07617154619
748	0.9979617199	0.07592861697
749	0.9979617199	0.07581327426
750	0.9979943738	0.07559303285
751	0.9979943738	0.07553470388
752	0.9979943738	0.07553195227
753	0.9979943738	0.07534505901
754	0.9979943738	0.0752357733
755	0.9979943738	0.07502199559
756	0.9980181815	0.07491238973
757	0.9980181815	0.07491120429
758	0.9980419523	0.07478417155
759	0.9980419523	0.07477242096
760	0.9980419523	0.0746754829
761	0.9980419523	0.07455195458
762	0.9980419523	0.07445664326
763	0.9980419523	0.07431136163
764	0.9980419523	0.07412351655
765	0.9980419523	0.074121985
766	0.9980419523	0.07399773849
767	0.9980419523	0.07377219287
768	0.9980419523	0.07376739918
769	0.9980419523	0.07354931234
770	0.9980822765	0.07353297573
771	0.9980822765	0.07352562079
772	0.9980822765	0.07352460841
773	0.9980629678	0.07333213405
774	0.9980629678	0.0733297199
775	0.9981436159	0.07315560692
776	0.9981436159	0.07303463985
777	0.9981436159	0.0728805496
778	0.9981805499	0.07277389437
779	0.9981805499	0.0726776918
780	0.9981805499	0.07266474711
781	0.9982278676	0.07250166654
782	0.9982278676	0.07249978887
783	0.9982841793	0.07235193734
784	0.9982841793	0.07234964866
785	0.9982841793	0.0723432066
786	0.9982605212	0.0722312861
787	0.9982605212	0.0722271284
788	0.9982132035	0.07206972411
789	0.9982796343	0.07191919019
790	0.9982368626	0.07183009595
791	0.9982368626	0.07182764286
792	0.9982368626	0.07182671268
793	0.9983032929	0.07166245532
794	0.9983032929	0.07166024018
795	0.9983032929	0.07165805101
796	0.9983359463	0.07164305559
797	0.9983122877	0.07151289485
798	0.9983199579	0.07143430952
799	0.9985316631	0.07121595443
800	0.9985316631	0.07121212986
801	0.998587649	0.07098308417
802	0.998587649	0.07097589363
803	0.998587649	0.07085246049
804	0.998587649	0.07085009826
805	0.9986533488	0.07066429526
806	0.9986506948	0.07042809364
807	0.9986506948	0.0704219328
808	0.9986506857	0.07028160061
809	0.9986506857	0.07009862278
810	0.9986506857	0.07008522381
811	0.9986743639	0.06993451684
812	0.9986506948	0.06986955112
813	0.9986506948	0.06986027957
814	0.9986743639	0.06972712926
815	0.9986743639	0.06972565828
816	0.9986743639	0.06972494874
817	0.9986743639	0.06972398827
818	0.9987146873	0.06959947352
819	0.9987146873	0.06950509671
820	0.9987648858	0.0694021925
821	0.9987885548	0.0693956293
822	0.9987885548	0.06920257952
823	0.9987885548	0.06904524013
824	0.9987885548	0.06894643737
825	0.9987885548	0.06893538334
826	0.9987885548	0.06884105411
827	0.9988095607	0.06869892213
828	0.9988095607	0.06869810876
829	0.9988095699	0.06869611427
830	0.9988332385	0.06852858613
831	0.9988332385	0.06850530559
832	0.9988332294	0.06839738272
833	0.9988332294	0.06829207733
834	0.9988332385	0.06816799523
835	0.9988332385	0.06809445452
836	0.9988332385	0.06800198999
837	0.9988332385	0.06786345327
838	0.9988332385	0.06785838702
839	0.9988332385	0.067856518
840	0.9988332385	0.06776345209
841	0.9988760094	0.06761650912
842	0.9988760094	0.06750079866
843	0.9988760094	0.06736719408
844	0.9988760094	0.06735953196
845	0.9988760094	0.06735772351
846	0.9988760094	0.0672096773
847	0.9988760094	0.06701282026
848	0.9988760094	0.06693618615
849	0.9988760094	0.06683904474
850	0.9988760094	0.06683296178
851	0.9988760094	0.06683223061
852	0.9989233454	0.06666966488
853	0.9989233454	0.06665104392
854	0.9989233454	0.06657068042
855	0.9989233454	0.06656069069
856	0.9989233454	0.06651194909
857	0.9989233454	0.06650459415
858	0.9989233454	0.0664291152
859	0.9989443604	0.06632972405
860	0.9989890427	0.06615832375
861	0.9989443604	0.06599808997
862	0.9989653752	0.06581506886
863	0.9989653752	0.06563798363
864	0.9989653752	0.06561401951
865	0.9989863899	0.06549740916
866	0.9989863899	0.0654173788
867	0.9989863899	0.06535204533
868	0.9989863899	0.06534369964
869	0.9989627221	0.06519050064
870	0.9989863899	0.06507398547
871	0.9990054028	0.06496199142
872	0.9990054028	0.06495394858
873	0.9990290706	0.06493457049
874	0.9990290706	0.06480850688
875	0.9990290706	0.06480021743
876	0.9990290706	0.06479831813
877	0.9990290706	0.06479172031
878	0.9990290706	0.06478198584
